age,job,marital,education,balance,duration,poutcome,FDcreated
33,0,1,2,0.03329000577700751,39,0,0
42,0,2,1,0.01970200269593684,519,1,1
33,7,1,1,0.06412478336221837,144,0,1
36,4,1,2,0.05174032351242057,73,1,0
36,4,1,2,0.02267475447718082,140,0,1
44,1,1,1,0.03860966685923358,119,1,0
26,9,2,2,0.024744848834970152,21,1,0
51,0,2,1,0.06036972848064703,449,0,0
33,10,0,1,0.034770363951473135,175,0,0
30,0,1,1,0.033181686886192954,119,2,0
30,4,2,2,0.03763479684190256,86,0,0
44,2,1,2,0.042304544579241286,81,0,0
51,4,0,2,0.024106970922395533,200,0,0
51,9,1,1,0.023372809551319082,79,0,0
44,4,1,2,0.09733054111303678,58,0,0
34,9,2,1,0.02393847487001733,303,0,0
49,4,1,2,0.04112507221259388,324,0,0
47,3,1,2,0.025418833044482957,80,0,0
40,4,2,1,0.04220826112073946,161,0,0
47,1,1,1,0.040535336029270175,297,0,0
38,4,1,2,0.028620258039668785,146,1,0
54,9,2,1,0.0250577700751011,120,0,0
52,4,1,2,0.043147024841132295,381,1,0
48,0,0,1,0.02622520700943578,123,2,0
45,9,1,1,0.04045108800308107,75,0,0
39,0,1,1,0.02750096283458502,396,0,0
39,1,1,0,0.06268053148469092,96,0,0
37,4,1,2,0.02267475447718082,44,0,0
49,4,1,2,0.023445022145195456,208,2,0
43,9,1,1,0.04512083574041979,155,0,0
35,9,0,2,0.04335162719044868,74,1,0
50,4,1,1,0.03029318313113807,302,0,0
42,9,2,2,0.023095994608126325,38,1,0
56,5,1,1,0.055760157904871946,38,0,0
51,2,1,2,0.025190159830541112,130,0,0
50,9,2,1,0.025635470826112075,270,0,0
45,9,1,1,0.039704891199691894,483,0,0
40,7,0,1,0.09207105719237435,68,0,0
30,4,1,2,0.023890333140766416,348,0,0
39,4,1,2,0.02869247063354516,257,1,0
36,4,1,2,0.08353793568264972,70,0,0
34,3,1,2,0.03789957635278259,118,0,0
59,4,1,2,0.02267475447718082,90,0,0
53,7,1,1,0.03909108415174273,508,0,0
46,4,2,2,0.023228384363566338,80,0,0
52,5,1,1,0.08794290390910842,93,0,0
56,9,0,1,0.030967167340650876,110,0,0
34,0,2,1,0.02267475447718082,214,0,0
32,0,2,1,0.07495667244367418,79,0,0
59,5,0,1,0.028860966685923358,573,1,0
59,4,1,0,0.025707683419988445,138,0,0
40,9,1,1,0.02267475447718082,74,0,0
43,9,0,1,0.02224147891392259,190,0,0
43,9,1,1,0.02267475447718082,103,0,0
55,2,0,2,0.04349605237820142,89,0,0
49,7,1,1,0.025105911804352014,651,0,1
49,2,1,2,0.026441844791064897,42,0,0
39,1,2,0,0.027717600616214134,186,0,0
42,9,1,2,0.19456479876757174,77,2,0
56,0,1,1,0.03795975351434624,80,1,0
44,0,1,1,0.0807577508184094,102,1,0
42,7,1,1,0.03528788754092047,71,0,0
41,9,1,1,0.024022722896206432,1081,0,0
51,9,1,1,0.029450702869247062,504,0,0
36,1,1,1,0.04430242634315425,166,0,0
52,9,1,2,0.06407664163296746,124,0,0
42,2,1,2,0.027163970729828617,174,0,0
45,9,1,1,0.04698632774889274,62,0,0
35,2,1,1,0.02296360485268631,128,0,0
38,4,1,2,0.027789813210090508,240,0,0
47,9,1,1,0.023637589062199114,74,0,0
43,6,1,1,0.030305218563450798,65,0,0
33,1,1,1,0.02267475447718082,809,1,0
40,1,2,1,0.030822742152898132,619,1,0
54,9,1,1,0.0334946081263239,61,1,0
50,4,1,2,0.03266416329674562,71,0,0
54,7,1,1,0.055399094935490084,166,0,0
44,10,1,1,0.02267475447718082,58,0,0
43,1,0,1,0.019557577508184095,732,1,0
51,4,1,2,0.02565954169073753,139,0,0
51,9,1,1,0.16783410360100134,150,0,0
42,9,2,1,0.02249422299248989,89,0,0
46,7,0,1,0.02267475447718082,407,2,0
50,4,1,2,0.022722896206431736,223,0,0
44,4,1,2,0.04013816676295012,157,0,0
41,10,1,0,0.02937849027537069,158,0,0
37,4,2,2,0.029896013864818025,116,0,0
53,0,1,1,0.026887155786635857,113,0,0
53,6,1,1,0.02565954169073753,99,0,0
52,9,1,1,0.04455517042172155,189,0,0
36,4,0,2,0.06885470826112074,184,2,0
37,0,1,2,0.02267475447718082,65,0,0
44,4,1,2,0.023372809551319082,48,0,0
59,4,0,2,0.06542461005199307,690,1,0
32,0,1,1,0.02267475447718082,159,0,0
41,4,1,2,0.022915463123435394,99,0,0
37,7,1,1,0.011192952050837666,69,0,0
43,3,1,0,0.02267475447718082,836,0,0
51,1,1,0,0.025442903909108416,174,0,0
56,4,1,2,0.0287526477951088,171,0,0
44,7,1,1,0.06892692085499712,70,1,0
56,4,2,0,0.023986616599268245,124,1,0
39,6,1,2,0.022734931638744463,118,1,0
38,9,1,1,0.03255584440593106,224,0,0
42,9,1,0,0.025984498363181206,295,0,0
34,4,2,2,0.0352999229732332,101,0,0
38,1,1,0,0.02267475447718082,78,0,0
53,5,1,2,0.04998315039476218,1091,2,1
41,1,1,1,0.02593635663393029,148,0,0
48,4,0,2,0.016921817831696516,87,0,0
54,4,1,2,0.06834922010398614,227,0,0
55,2,1,1,0.030533891777392644,193,0,0
38,9,2,1,0.03777922202965531,151,0,0
50,9,0,1,0.017824475255151163,130,0,0
42,10,1,0,0.0544001540535336,178,0,0
40,3,1,1,0.03505921432697862,117,0,0
38,0,1,1,0.02267475447718082,599,1,0
57,4,1,1,0.04075197381089929,340,0,0
30,9,2,1,0.027801848642403235,127,0,0
56,4,2,1,0.025527151935297514,117,0,0
39,9,1,1,0.02277103793568265,333,0,0
43,7,0,1,0.035227710379356826,57,0,0
42,7,1,1,0.03503514346235317,188,0,0
44,4,1,2,0.03138840747159638,157,0,0
36,1,1,1,0.02267475447718082,273,0,0
40,10,1,1,0.0253105141536684,204,0,0
43,4,1,2,0.05597679568650106,374,0,0
